,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude,zipcode
0,1,0.116357453189,0.0007823067885,Newark Airport,1,EWR,40.689488139614994,-74.17152567596138,07114
1,2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,40.61079106729335,-73.82248951361693,11693
2,3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx,40.865745431551126,-73.8449466422813,10469
3,4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan,40.72413720786238,-73.97772562994714,10009
4,5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island,40.55066537440838,-74.18753677053789,10312
5,6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island,40.59904685658462,-74.07256367951013,10305
6,7,0.107417171123,0.000389787989274,Astoria,7,Queens,40.76108186554351,-73.92031477248251,11106
7,8,0.0275906911574,2.6587716279e-05,Astoria Park,8,Queens,40.77862588146737,-73.92312225146479,11102
8,9,0.0997840924705,0.000338443803197,Auburndale,9,Queens,40.75432771219846,-73.7864908458439,11358
9,10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens,40.67825239491566,-73.78899813157558,11434
10,11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn,40.60401449921972,-74.007510449703,11214
11,12,0.0366613013579,4.15116236727e-05,Battery Park,12,Manhattan,40.70249696061747,-74.01572587059847,10275
12,13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan,40.711534654299,-74.0158919069822,10281
13,14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,40.62359258557067,-74.02852008938801,11209
14,15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens,40.78488539626116,-73.78525185967825,11360
15,16,0.141291873771,0.000871889446182,Bayside,16,Queens,40.76122069617673,-73.77473937264739,11361
16,17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn,40.691780230810245,-73.95068606511312,11206
17,18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx,40.868678786045926,-73.89126978543936,10458
18,19,0.101824875452,0.000546661094782,Bellerose,19,Queens,40.73674328423478,-73.72858190313416,11426
19,20,0.0514401924362,0.000134512633032,Belmont,20,Bronx,40.857742168079604,-73.8861961357746,10458
20,21,0.115973569062,0.000380251345507,Bensonhurst East,21,Brooklyn,40.60199502260022,-73.98585700957061,11223
21,22,0.126170229196,0.000472062684608,Bensonhurst West,22,Brooklyn,40.609681462062035,-73.9950716926507,11214
22,23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island,40.60751363416179,-74.16048830961626,10314
23,24,0.0469999619287,6.07235737749e-05,Bloomingdale,24,Manhattan,40.80191580520843,-73.96552225569732,10025
24,25,0.0471458199319,0.000124168267356,Boerum Hill,25,Brooklyn,40.685719434441445,-73.98647182471841,11217
25,26,0.12354780707,0.000534039927626,Borough Park,26,Brooklyn,40.628601627934195,-73.99012657853419,11219
26,27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens,40.558946435494285,-73.90170546963151,11697
27,28,0.097960782214,0.000291203927662,Briarwood/Jamaica Hills,28,Queens,40.71075352720881,-73.80834608449645,11432
28,29,0.0714083127733,0.000201673837402,Brighton Beach,29,Brooklyn,40.58251439846488,-73.9606195853329,11235
29,30,0.0945097669793,0.000145862107626,Broad Channel,30,Queens,40.60490815772557,-73.82479343526859,11693
30,31,0.0964245666516,0.000333975927329,Bronx Park,31,Bronx,40.860019378140095,-73.87609995460816,10458
31,32,0.05426721601,0.000150879171971,Bronxdale,32,Bronx,40.86438044535024,-73.8638466497724,10467
32,33,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn,40.69625709603423,-73.99602138646641,11201
